id	title	description	link	price	availability	image link	brand	gtin	identifier exists	produc type
31162504	CARTUCHERA 2 PISOS KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-2-pisos-koala/	480 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-pisos-chimola-wild-spirit-koala_iz823955917xvzgrandexpz1xfz237691206-908682002-1xsz237691206xim1-d70e723dd28ea580d015421317308506-640-0.jpg	Chimola		no	Inicio > Productos
31162382	"MOCHILA ESPALDA UNICORNIO 12"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-unicornio-12/	640 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-espalda-wild-spirit-unicornio-12_iz809300681xvzgrandexpz1xfz237691206-60037665515-2xsz237691206xim1-ddd9a2eda844be472815421314939959-640-0.jpg	Chimola		no	Inicio > Productos
31162108	CARTUCHERA 3 PISOS KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-3-pisos-koala/	560 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-de-pisos-chimola-wild-spirit-koala_iz823956820xvzgrandexpz1xfz237691206-94179752-1xsz237691206xim1-d70e723dd28ea580d015421309072828-640-0.jpg	Chimola		no	Inicio > Productos
31162060	CARTUCHERA CANOPLA 1 CIERRE BUHO	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-1-cierre-buho/	280 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierre-chimola-wild-spirit-buho_iz823913902xvzgrandexpz1xfz237691206-20375511472-2xsz237691206xim1-ebe3868d0ed64af19015421308173167-640-0.jpg	Chimola		no	Inicio > Productos
31161314	"MOCHILA ESPALDA JIRAFA 12"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-espalda-jirafa-12/	640 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-espalda-wild-spirit-jirafa-12_iz809294748xvzgrandexpz1xfz237691206-71995898516-3xsz237691206xim1-0a0220954d12bb776d15421293075883-640-0.jpg	Chimola		no	Inicio > Productos
31161266	CARTUCHERA CANOPLA 2 CIERRES KOALA	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-2-cierres-koala/	340 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-koala_iz823921821xvzgrandexpz1xfz237691206-970529642-1xsz237691206xim1-14fc08a620cecc3f3015421291944487-640-0.jpg	Chimola		no	Inicio > Productos
31161161	"MOCHILA CARRO UNICORNIO 12"""	"
"	https://www.tienda.chimola.com.ar/productos/mochila-carro-unicornio-12/	900 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/mochila-jardin-con-carrito-chimola-wild-spirit-unicornio-12_iz808202818xvzgrandexpz1xfz237691206-26747337025-2xsz237691206xim1-014d03754c3831962915421289653182-640-0.jpg	Chimola		no	Inicio > Productos
31160650	"CARTUCHERA PISOS COMPLETA ""WILD SPIRIT"""		https://www.tienda.chimola.com.ar/productos/cartuchera-pisos-completa-wild-spirit/	700 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-pisos-completa-rigida-chimola-wild-spirit-birds_iz833317825xvzgrandexpz1xfz237691206-4119027130-3xsz237691206xim1-a6228a9b9b4971ecde15421278543817-640-0.jpg	Chimola		no	Inicio > Productos
31160495	"CARTUCHERA CANOPLA 3 CIERRES ""WILD SPIRIT"""	"
"	https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-3-cierres-wild-spirit/	400 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-tribal_iz833301084xvzgrandexpz1xfz237691206-53616372373-3xsz237691206xim21-99c9a3ae267d5fed4d15421274395887-640-0.jpg	Chimola		no	Inicio > Productos
31160283	"CARTUCHERA CANOPLA 2 CIERRES ""WILD SPIRIT"""		https://www.tienda.chimola.com.ar/productos/cartuchera-canopla-2-cierres-wild-spirit/	340 ARS	In stock	https://d26lpennugtm8s.cloudfront.net/stores/892/693/products/cartuchera-canopla-cierres-chimola-wild-spirit-birds_iz823942076xvzgrandexpz1xfz237691206-853489011-1xsz237691206xim1-95f19d48c1dceb18c015421268852554-640-0.jpg	Chimola		no	Inicio > Productos
